Abada;ABADA
Abrir;ABRIR
Acaro;ACARO
Adega;ADEGA
Agata;AGATA
Agios;AGIOS
Aguca;AGUCA
Agudo;AGUDO
Alado;ALADO
Alcas;ALCAS
Alema;ALEMA
Amapa;AMAPA
Ameno;AMENO
Amido;AMIDO
Aneis;ANEIS
Animo;ANIMO
Apice;APICE
Arabe;ARABE
Arder;ARDER
Ardua;ARDUA
Arpao;ARPAO
Assim;ASSIM
Atimo;ATIMO
Atomo;ATOMO
Atuar;ATUAR
Aureo;AUREO
Autor;AUTOR
Avela;AVELA
Bacia;BACIA
Bacon;BACON
Balde;BALDE
Banca;BANCA
Bazar;BAZAR
Beato;BEATO
Bispo;BISPO
Bloco;BLOCO
Bocao;BOCAO
Bolao;BOLAO
Bolha;BOLHA
Botar;BOTAR
Boxer;BOXER
Braco;BRACO
Brega;BREGA
Bufar;BUFAR
Burro;BURRO
Butia;BUTIA
Cacar;CACAR
Cacau;CACAU
Cacho;CACHO
Cacos;CACOS
Caida;CAIDA
Calar;CALAR
Calca;CALCA
Calmo;CALMO
Canal;CANAL
Canil;CANIL
Caqui;CAQUI
Carne;CARNE
Casos;CASOS
Causa;CAUSA
Cavar;CAVAR
Ceder;CEDER
Cenas;CENAS
Cerne;CERNE
Cetim;CETIM
Chale;CHALE
Chapa;CHAPA
Chata;CHATA
Circo;CIRCO
Civil;CIVIL
Clara;CLARA
Conta;CONTA
Copia;COPIA
Corvo;CORVO
Couve;COUVE
Coxas;COXAS
Credo;CREDO
Criar;CRIAR
Cujos;CUJOS
Curso;CURSO
Curva;CURVA
Custo;CUSTO
Dados;DADOS
Debil;DEBIL
Dedao;DEDAO
Dedeu;DEDEU
Demao;DEMAO
Dende;DENDE
Depos;DEPOS
Desco;DESCO
Desde;DESDE
Diodo;DIODO
Dolar;DOLAR
Donos;DONOS
Doses;DOSES
Dueto;DUETO
Durao;DURAO
Entao;ENTAO
Epica;EPICA
Erros;ERROS
Esqui;ESQUI
Estao;ESTAO
Estar;ESTAR
Etico;ETICO
Etnia;ETNIA
Exito;EXITO
Exodo;EXODO
Expor;
Extra;
Facas;
Faixa;
Falir;
Farda;
Farpa;
Fazer;
Febre;
Fedor;
Feias;
Fiapo;
Ficar;
Final;
Fluor;
Focal;
Fogao;
Forum;
Fotao;
Frear;
Freio;
Fungo;
Furia;
Gaita;
Galao;
Galho;
Galia;
Gamba;
Ganho;
Ganso;
Garca;
Gases;
Gasto;
Gatas;
Gelar;
Gemeo;
Genio;
Geral;
Giria;
Globo;
Golpe;
Gorro;
Gosto;
Graca;
Grade;
Grama;
Graos;
Grega;
Grito;
Gueto;
Guiar;
Guria;
Habil;
Haste;
Helio;
Heroi;
Hiato;
Hinos;
Honra;
Horta;
Horto;
Humor;
Icaro;
Idade;
Ideia;
Idolo;
Idoso;
Igual;
Ileso;
Impar;
Impos;
Imune;
Indio;
Irado;
Irmao;
Jarra;
Jaula;
Jovem;
Juizo;
Julho;
Junho;
Justa;
Lacou;
Lagos;
Laico;
Lanca;
Lanco;
Laque;
Latao;
Lazer;
Lenco;
Lesma;
Letra;
Lilas;
Lindo;
Lituo;
Livro;
Locao;
Loiro;
Lomba;
Lorde;
Lunar;
Luzes;
Macro;
Mafia;
Magoa;
Males;
Manso;
Manto;
Marte;
Medio;
Meiga;
Meigo;
Meios;
Melao;
Menor;
Mesao;
Meses;
Mesmo;
Mexer;
Milha;
Mimar;
Minha;
Mitos;
Miuda;
Miude;
Miudo;
Moela;
Moida;
Morna;
Morto;
Mosca;
Mumia;
Musas;
Musgo;
Mutuo;
Naves;
Nenem;
Nevoa;
Ninja;
Nocao;
Noite;
Obeso;
Obvio;
Olhao;
Omega;
Opaco;
Osseo;
Otico;
Oucas;
Pagos;
Parco;
Pareo;
Parte;
Parvo;
Patao;
Patas;
Patio;
Paura;
Pavao;
Pecas;
Pedra;
Peixe;
Pelos;
Peoes;
Pesar;
Piaui;
Pilha;
Pingo;
Pinos;
Pisar;
Pocos;
Podar;
Podio;
Poeta;
Pomba;
Porao;
Porco;
Porre;
Porta;
Preve;
Prima;
Pudim;
Pulso;
Quais;
Quibe;
Quilo;
Racas;
Raiar;
Raios;
Raras;
Ratao;
Redes;
Redia;
Regar;
Regua;
Reles;
Relva;
Reuno;
Reves;
Rimar;
Risco;
Riste;
Rocha;
Rolos;
Rugbi;
Saber;
Sabio;
Sabor;
Saida;
Sapao;
Sarua;
Saura;
Seara;
Seita;
Selva;
Senao;
Serie;
Serio;
Setor;
Simio;
Sinha;
Sirio;
Socar;
Socia;
Sofas;
Sogro;
Solar;
Sonar;
Sotao;
Sovar;
Suado;
Suino;
Suino;
Suite;
Sushi;
Sutil;
Tacas;
Talao;
Tarde;
Tchau;
Tecer;
Tecla;
Tedio;
Tenia;
Tenis;
Tensa;
Terca;
Terca;
Terno;
Terra;
Texto;
Tinta;
Tiros;
Tocar;
Todos;
Tomba;
Toque;
Tosse;
Touro;
Traco;
Trama;
Treta;
Trevo;
Trufa;
Turno;
Uncao;
Unhas;
Urubu;
Usada;
Usual;
Vacas;
Vaias;
Varal;
Vazao;
Vazar;
Venus;
Vidao;
Vidas;
Viral;
Visao;
Visar;
Vivos;
Vosso;
Vulto;
Xales;
Xeque;
Xisto;
Zelar;
Zerar;
Zinco;
Ziper;
Zomba;
Zonzo;
